 Information and Information Technology (IIT) Solutions Consulting Services, Hitachi Vantara Inc (formerly Hitachi Consulting Canada Corporation)
 Information and Information Technology (IIT) Solutions Consulting Services, HiTechClouds Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, HubSpoke Inc
 Information and Information Technology (IIT) Solutions Consulting Services, I4C Information Technology Consulting Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, IBM Canada Ltd.
 Information and Information Technology (IIT) Solutions Consulting Services, IC 360 Solutions Inc
 Information and Information Technology (IIT) Solutions Consulting Services, Idea Theorem Inc
 Information and Information Technology (IIT) Solutions Consulting Services, Illuminz Solutions Inc. (DBA Shyftlabs)
 Information and Information Technology (IIT) Solutions Consulting Services, IMT Corp
 Information and Information Technology (IIT) Solutions Consulting Services, Infosys Public Services
 Information and Information Technology (IIT) Solutions Consulting Services, iQonsulting Incorporated
 Information and Information Technology (IIT) Solutions Consulting Services, IT Chapter
 Information and Information Technology (IIT) Solutions Consulting Services, ITCAD Tech Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, iVedha Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, Jarvis Technologies Group Inc (DBA Jarvis Consulting Group)
 Information and Information Technology (IIT) Solutions Consulting Services, KeyData Associates Inc
 Information and Information Technology (IIT) Solutions Consulting Services, Korah Limited (DBA ccRobot.ai)
 Information and Information Technology (IIT) Solutions Consulting Services, KPMG LLP
 Information and Information Technology (IIT) Solutions Consulting Services, Kyndryl Canada Limited
 Information and Information Technology (IIT) Solutions Consulting Services, Levio Conseils inc. (Levio Consulting)
 Information and Information Technology (IIT) Solutions Consulting Services, LNine Consulting Inc
 Information and Information Technology (IIT) Solutions Consulting Services, Maplesoft Consulting Inc. (formerly Somos Consulting Group Ltd.)
 Information and Information Technology (IIT) Solutions Consulting Services, Maximus Canada Services Inc. (DBA MAXIMUS)
 Information and Information Technology (IIT) Solutions Consulting Services, MDOS Consulting Inc
 Information and Information Technology (IIT) Solutions Consulting Services, MERAK Systems Corporation
 Information and Information Technology (IIT) Solutions Consulting Services, Millenilink
 Information and Information Technology (IIT) Solutions Consulting Services, MNP LLP (Digitalembrace Inc.)
 Information and Information Technology (IIT) Solutions Consulting Services, MOBIA Technology Innovations
 Information and Information Technology (IIT) Solutions Consulting Services, MTX Consulting Canada
 Information and Information Technology (IIT) Solutions Consulting Services, MZM Technologies Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, NewFound Recruiting Corporation
 Information and Information Technology (IIT) Solutions Consulting Services, NewRocket (formerly Iceberg Networks Corporation)
 Information and Information Technology (IIT) Solutions Consulting Services, Nortal Canada Ltd
 Information and Information Technology (IIT) Solutions Consulting Services, Novamodus Solutions Inc (DBA Novamodus Inc (Formerly Vigilant Consulting Services Inc))
 Information and Information Technology (IIT) Solutions Consulting Services, NTG Clarity Networks Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, OGGN Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, Oncore Cloud Services Inc
 Information and Information Technology (IIT) Solutions Consulting Services, OnX Enterprise Solutions Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, Orangutech Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, OXARO Inc (DBA Raymond Chatbot Grant Thornton Consulting Inc)
 Information and Information Technology (IIT) Solutions Consulting Services, Paralucent Inc. (DBA Paralucent)
 Information and Information Technology (IIT) Solutions Consulting Services, Pariveda Solutions Limited
 Information and Information Technology (IIT) Solutions Consulting Services, PricewaterhouseCoopers LLP
 Information and Information Technology (IIT) Solutions Consulting Services, Pro-Insight Consulting
 Information and Information Technology (IIT) Solutions Consulting Services, Procom Consultants Group Ltd.
 Information and Information Technology (IIT) Solutions Consulting Services, QA Consultants Inc an ALTEN company (DBA ALTEN Group)
 Information and Information Technology (IIT) Solutions Consulting Services, Raise Limited (Formerly Ian Martin Limited)
 Information and Information Technology (IIT) Solutions Consulting Services, Randstad Technologies a division of Randstad Interim Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, REA Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, Robert Half Canada
 Information and Information Technology (IIT) Solutions Consulting Services, RSM Canada Consulting LP
 Information and Information Technology (IIT) Solutions Consulting Services, Run Straight Consulting Ltd.
 Information and Information Technology (IIT) Solutions Consulting Services, Shore Consulting Group Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, Sierra Systems Group Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, Slalom Consulting ULC
 Information and Information Technology (IIT) Solutions Consulting Services, Speridian Technologies LLC
 Information and Information Technology (IIT) Solutions Consulting Services, Spyre Solutions Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, SRA Staffing Solutions Ltd. (DBA SRA Information Technology)
 Information and Information Technology (IIT) Solutions Consulting Services, Swansea Computer Specialists Corp.
 Information and Information Technology (IIT) Solutions Consulting Services, Sylogix Consulting Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, Systematix Technology Consultants Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, Team Global Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, TechnicalitiesPlus Inc
 Information and Information Technology (IIT) Solutions Consulting Services, Tectonic Advisory Services Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, TEKsystems Canada Corp.
 Information and Information Technology (IIT) Solutions Consulting Services, ThoughtStorm Inc
 Information and Information Technology (IIT) Solutions Consulting Services, Tidal SW Inc (DBA Tidal. Cloud)
 Information and Information Technology (IIT) Solutions Consulting Services, Titan Plus Software Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, Torinit Technologies Inc
 Information and Information Technology (IIT) Solutions Consulting Services, Transatlantic Business Consulting
 Information and Information Technology (IIT) Solutions Consulting Services, VMware Inc
 Information and Information Technology (IIT) Solutions Consulting Services, Waaiam Inc.
 Information and Information Technology (IIT) Solutions Consulting Services, Wiz Management Inc
 Information and Information Technology (IIT) Solutions Consulting Services, Yoush Inc. (DBA: Yoush Consulting)
 Office Institutional and Other Furniture, Allseating Corporation
 Office Institutional and Other Furniture, Drechsel
 Office Institutional and Other Furniture, Ergo-Industrial Seating Systems
 Office Institutional and Other Furniture, Haworth Inc.
 Office Institutional and Other Furniture, POI Business Interiors (Steelcase)
 Office Institutional and Other Furniture, Staples Professional Inc. (formerly Staples Advantage Canada)
 Office Institutional and Other Furniture, Teknion Limited
 Office Institutional and Other Furniture, Triad Office Interiors
 Personal Computing Devices and Services (PCDS), CompuCom Canada Co.
 Internal Audit Services, Angela Byrne Consulting Inc.
 Internal Audit Services, BDO Canada LLP (formerly PPI Consulting Limited)
 Internal Audit Services, Deloitte Inc.
 Internal Audit Services, Ernst & Young LLP
 Internal Audit Services, Grant Thornton LLP
 Internal Audit Services, KPMG LLP
 Internal Audit Services, Kroll Consulting Canada Co.
 Internal Audit Services, MNP LLP
 Internal Audit Services, Niewe Consulting Ltd (DBA Baiame Consulting Ltd)
 Internal Audit Services, Orbis Risk Consulting Inc.
 Internal Audit Services, PricewaterhouseCoopers LLP
 Internal Audit Services, Richter LLP (formerly Richter Advisory Group Inc)
 Internal Audit Services, RSM Canada Consulting LP
 Internal Audit Services, Samson & Associates CPA/Consultation Inc (formerly Samson & Associates Consulting Inc)
 Internal Audit Services, SAV Associates Professional Corporation
 Internal Audit Services, Valencia IIP Advisors Limited
 IT Security Products and Services, 11898531 CANADA LTD (o/a QSI SECURITY)
 IT Security Products and Services, 1429481 Ontario Inc (o/a Netpulse)
 IT Security Products and Services, 2859824 Ontario Limited (oa Interac Corp.)
 IT Security Products and Services, Accenture Inc.
 IT Security Products and Services, Access 2 Networks Inc
 IT Security Products and Services, Accuras Inc.
 IT Security Products and Services, AIE IO Consulting Inc
 IT Security Products and Services, Architecture in Motion Inc
 IT Security Products and Services, BDO Canada LLP (formerly PPI Consulting Limited)
 IT Security Products and Services, Bell Canada
 IT Security Products and Services, Benchmark Corp
 IT Security Products and Services, Bluedrop Learning Networks
 IT Security Products and Services, C3SA Cybernetic Security Audit Inc
 IT Security Products and Services, Canadian Internet Registration Authority
 IT Security Products and Services, Carahsoft Technology Corporation
 IT Security Products and Services, CDW Canada
 IT Security Products and Services, Charter Telecom Inc
 IT Security Products and Services, Click Armor Corporation
 IT Security Products and Services, CM Inc.
 IT Security Products and Services, CodeEye Solutions Inc
 IT Security Products and Services, ComplyTec Inc.
 IT Security Products and Services, CompuCom Canada Co.
 IT Security Products and Services, Compugen Inc.
 IT Security Products and Services, Computacenter TeraMach Inc.
 IT Security Products and Services, Connex Telecom Inc
 IT Security Products and Services, CyraacsNA Inc
 IT Security Products and Services, Decisive Group Inc
 IT Security Products and Services, Deloitte Inc.
 IT Security Products and Services, Digital Boundary Group Canada Inc
 IT Security Products and Services, Dokainish & Company Inc.
 IT Security Products and Services, Edgeworx Solutions Inc.
 IT Security Products and Services, Ennoble AI Inc
 IT Security Products and Services, Ernst & Young LLP
 IT Security Products and Services, GHD Limited
 IT Security Products and Services, GlassHouse Systems Inc.
 IT Security Products and Services, HoneyTek Systems Inc
 IT Security Products and Services, IBM Canada Ltd.
 IT Security Products and Services, IDENTOS Inc
 IT Security Products and Services, iG2 Group Inc
 IT Security Products and Services, IMP Solutions (a Division of IMP Group Ltd)
 IT Security Products and Services, Integra Data Systems Corp.
 IT Security Products and Services, Intercast Staffing Ltd.
 IT Security Products and Services, ipss inc.
 IT Security Products and Services, ISA Cybersecurity
 IT Security Products and Services, iSecurity Inc
 IT Security Products and Services, Itex Inc
 IT Security Products and Services, ITI Canada Inc
 IT Security Products and Services, Karta Corp
 IT Security Products and Services, KeyData Associates Inc
 IT Security Products and Services, KPMG LLP
 IT Security Products and Services, Layer 8 Solutions Inc
 IT Security Products and Services, Long View Systems Corporation
 IT Security Products and Services, Magnari Inc (oa Malleum)
 IT Security Products and Services, MNP Digital Inc
 IT Security Products and Services, MOBIA Technology Innovations
 IT Security Products and Services, NewRocket (formerly Iceberg Networks Corporation)
 IT Security Products and Services, Noverant Inc
 IT Security Products and Services, OKIOK DATA LTD
 IT Security Products and Services, OnX Enterprise Solutions Inc.
 IT Security Products and Services, OpenText
 IT Security Products and Services, Oppos Incorporated
 IT Security Products and Services, Optiv Canada Federal Inc. (Formerly Conexsys Communications Limited)
 IT Security Products and Services, Parabellyx Corporation
 IT Security Products and Services, Paragon Micro IT Solutions Group Canada ULC
 IT Security Products and Services, Performance Matters
 IT Security Products and Services, PricewaterhouseCoopers LLP
 IT Security Products and Services, PureLogic IT
 IT Security Products and Services, Roca Networks Inc
 IT Security Products and Services, rSolutions Corporation
 IT Security Products and Services, Services et Solutions TWM Canada inc
 IT Security Products and Services, SHI Canada
 IT Security Products and Services, Simeio Solutions Canada Inc.
 IT Security Products and Services, Softchoice Canada
 IT Security Products and Services, Speridian Technologies LLC
 IT Security Products and Services, Stratejm Inc.
 IT Security Products and Services, Sunphinx inc
 IT Security Products and Services, TCG Digital Solution LLC
 IT Security Products and Services, TestingXperts Inc
 IT Security Products and Services, The Herjavec Group (Cyderes)
 IT Security Products and Services, ThoughtStorm Inc
 IT Security Products and Services, Threat IQ Inc
 IT Security Products and Services, Transatlantic Business Consulting
 IT Security Products and Services, U214 Inc. (Cloud Managed Networks)
 IT Security Products and Services, Valencia IIP Advisors Limited
 IT Security Products and Services, X10 Technologies Inc
 Office Products Print and Copy Paper and Laser Toners, ASCA Office Solutions
 Office Products Print and Copy Paper and Laser Toners, Bluewater Office Equipment Ltd. oa MicroAge Basics
 Office Products Print and Copy Paper and Laser Toners, Grand and Toy
 Office Products Print and Copy Paper and Laser Toners, Hamster
 Office Products Print and Copy Paper and Laser Toners, Staples Professional Inc. (formerly Staples Advantage Canada)
 Mobile Devices and Services, Bell Mobility Inc.
 Mobile Devices and Services, Rogers Communications Canada Inc.
 Mobile Devices and Services, TbayTel
 Mobile Devices and Services, TELUS Communications Inc. (formerly TELUS Corporation)
